Location,Variety,Experiment,Plot #,Rep,Plants/acre,Stems/Acre,%Inital Stand,Tons DM/acre,Avg height (in),Avg height (cm),diam_bottom,diam_top
Whirling Thunder,Enectarol,1,414-5,4,,461010,,3.28,65.8,167.13,5.657,2.821
Whirling Thunder,Fibror79,1,415-1,4,,370260,,3.49,66.6,169.16,5.588,3.281
Whirling Thunder,Muka,1,416-4,4,,275880,,2.97,55.4,140.72,4.843,2.757
Whirling Thunder,Carmenecta,1,417-6,4,,359370,,3.81,67,170.18,6.169,3.482
Whirling Thunder,Bialob,1,418-3,4,,352110,,2.88,55.4,140.72,4.279,2.631
Whirling Thunder,Tibor50,2,501-1,1,,166980,,2.57,64.6,164.08,6.076,
Whirling Thunder,Tibor60,2,502-2,1,,214170,,2.39,68.8,174.75,5.083333333,
Whirling Thunder,Tibor70,2,503-3,1,,308550,,2.99,67,170.18,5.668,
Whirling Thunder,Tibor80,2,504-4,1,,602580,,4.29,68,172.72,6.465,
Whirling Thunder,Felina50,2,505-5,1,,464640,,3.86,54.2,137.67,5.356,
Whirling Thunder,Felina60,2,506-6,1,,304920,,3.66,64.4,163.58,5.962,
Whirling Thunder,Felina70,2,507-7,1,,704220,,4.76,52,132.08,5.525,
Whirling Thunder,Felina80,2,508-8,1,,392040,,2.6,58.2,147.83,4.548,
Whirling Thunder,Felina80,2,601-8,2,,566280,,4.25,59.6,151.38,4.643,
Whirling Thunder,Tibor80,2,602-4,2,,116160,,2.02,61.2,155.45,6.351,
Whirling Thunder,Tibor50,2,603-1,2,,221430,,3.35,69,175.26,6.815,
Whirling Thunder,Felina60,2,604-6,2,,301290,,2.01,46.8,118.87,4.397,
Whirling Thunder,Tibor60,2,605-2,2,,145200,,2.93,78.8,200.15,6.834,
Whirling Thunder,Felina50,2,606-5,2,,72600,,1.55,62.2,157.99,7.127,
Whirling Thunder,Felina70,2,607-7,2,,261360,,2.79,58,147.32,5.879,
Whirling Thunder,Tibor70,2,608-3,2,,264990,,3.62,74.2,188.47,7.208888889,
Whirling Thunder,Tibor70,2,701-3,3,,163350,,2.33,63.8,162.05,6.357,
Whirling Thunder,Tibor80,2,702-4,3,,421080,,4.73,73.4,186.44,7.918,
Whirling Thunder,Tibor60,2,703-2,3,,250470,,4.45,79.4,201.68,8.388,
Whirling Thunder,Felina60,2,704-6,3,,337590,,3.7,58.4,148.34,5.635,
Whirling Thunder,Felina70,2,705-7,3,,239580,,3.94,64.2,163.07,6.817,
